NFIL3	2.360094	10.502849	0.000000	0.000000
BHLHE40	2.344663	10.423218	0.000000	0.000000
PLEKHG2	2.246353	9.915909	0.000000	0.000000
UBC	2.119751	9.262608	0.000000	0.000000
FAM174B	2.062207	8.965666	0.000000	0.000000
USP3	2.045565	8.879790	0.000000	0.000000
DUSP1	1.991759	8.602136	0.000000	0.000000
CBX4	1.922989	8.247261	0.000000	0.000000
TRIB1	1.853632	7.889363	0.000000	0.000000
MRC2	1.800148	7.613366	0.000000	0.000000
ABCC3	1.798273	7.603696	0.000000	0.000000
GZF1	1.728290	7.242563	0.000000	0.000000
RBM39	1.672981	6.957149	0.000000	0.000000
EIF1	1.650321	6.840222	0.000000	0.000000
ITGB1	1.642555	6.800147	0.000000	0.000000
PSMB3	1.611964	6.642288	0.000000	0.000000
SLC25A11	1.606113	6.612093	0.000000	0.000000
PCBP1	1.596978	6.564957	0.000000	0.000000
BLOC1S3	1.587379	6.515420	0.000000	0.000000
IRF2BP2	1.582429	6.489877	0.000000	0.000000
SNX27	1.579957	6.477122	0.000000	0.000000
CD68	1.559844	6.373332	0.000000	0.000001
LIN37	1.544434	6.293811	0.000000	0.000001
FOSL2	1.513662	6.135022	0.000000	0.000002
ZFP36	1.512581	6.129442	0.000000	0.000002
BCL3	1.490540	6.015704	0.000000	0.000004
AMIGO2	1.486554	5.995135	0.000000	0.000005
PLEKHH3	1.477048	5.946083	0.000000	0.000006
ECH1	1.474327	5.932040	0.000000	0.000006
MNT	1.472432	5.922265	0.000000	0.000006
BLVRB	1.465233	5.885113	0.000000	0.000008
RPL13A	1.439060	5.750056	0.000000	0.000016
NFX1	1.438846	5.748950	0.000000	0.000016
GOT1	1.432006	5.713655	0.000000	0.000019
NFKBIA	1.423812	5.671371	0.000000	0.000024
RNF167	1.412350	5.612225	0.000000	0.000032
SMAD6	1.410603	5.603207	0.000000	0.000033
UBB	1.402367	5.560707	0.000000	0.000040
PLOD2	1.400731	5.552266	0.000000	0.000041
RPS16	1.393424	5.514561	0.000000	0.000050
SUPT5H	1.389305	5.493303	0.000000	0.000054
AMPD3	1.384592	5.468984	0.000000	0.000061
FOSB	1.377261	5.431154	0.000000	0.000073
PCED1B	1.374074	5.414707	0.000000	0.000078
PFN1	1.370823	5.397931	0.000000	0.000083
SLTM	1.365928	5.372671	0.000000	0.000093
FBXO31	1.349932	5.290126	0.000000	0.000142
MED29	1.325344	5.163245	0.000001	0.000268
USP36	1.324764	5.160254	0.000001	0.000268
PSENEN	1.321843	5.145182	0.000001	0.000284
DDIT4	1.320977	5.140713	0.000001	0.000285
ATP5MC2	1.319555	5.133375	0.000001	0.000290
HIST2H2AB	1.316858	5.119459	0.000001	0.000305
ATP6V1E2	1.312536	5.097153	0.000001	0.000331
PAF1	1.312011	5.094444	0.000001	0.000331
BUD31	1.311529	5.091957	0.000001	0.000331
NEK8	1.310426	5.086266	0.000001	0.000331
TRAPPC6A	1.310421	5.086241	0.000001	0.000331
EIF4A1	1.305162	5.059101	0.000001	0.000373
PDAP1	1.303928	5.052734	0.000001	0.000379
CLPB	1.301851	5.042019	0.000001	0.000393
ETF1	1.300201	5.033503	0.000001	0.000404
PER1	1.299446	5.029604	0.000001	0.000405
GSK3A	1.297912	5.021691	0.000001	0.000415
GPATCH1	1.292370	4.993093	0.000002	0.000472
CXCL2	1.287829	4.969657	0.000002	0.000522
MPG	1.276512	4.911258	0.000002	0.000686
TRIB3	1.269570	4.875440	0.000003	0.000802
SREBF1	1.269198	4.873520	0.000003	0.000802
AD000671.2	1.267777	4.866184	0.000003	0.000819
U2AF1L4	1.264862	4.851145	0.000003	0.000858
ERI1	1.264805	4.850847	0.000003	0.000858
ASPH	1.262660	4.839781	0.000003	0.000882
TNFRSF1A	1.262576	4.839346	0.000003	0.000882
ID1	1.260011	4.826109	0.000003	0.000928
BOLA1	1.252792	4.788860	0.000004	0.001096
P4HB	1.251608	4.782750	0.000004	0.001113
KYNU	1.246120	4.754430	0.000005	0.001258
ENO3	1.244688	4.747039	0.000005	0.001287
AC008982.1	1.239441	4.719966	0.000006	0.001444
RPRD2	1.237492	4.709908	0.000006	0.001496
RPL23A	1.234735	4.695679	0.000007	0.001580
TBC1D17	1.231080	4.676816	0.000007	0.001705
MRPS15	1.229049	4.666339	0.000007	0.001769
TM4SF1	1.220842	4.623986	0.000009	0.002128
RPL23	1.217961	4.609123	0.000010	0.002214
PGAP2	1.217797	4.608275	0.000010	0.002214
NUP98	1.217728	4.607917	0.000010	0.002214
MAP1LC3B	1.206296	4.548927	0.000013	0.002868
RHOQ	1.203911	4.536617	0.000014	0.002999
EGLN2	1.200505	4.519043	0.000015	0.003212
AD000671.1	1.198955	4.511043	0.000015	0.003294
VAMP2	1.194696	4.489070	0.000017	0.003597
RPS11	1.188666	4.457952	0.000019	0.004091
AL135905.2	1.187215	4.450462	0.000020	0.004185
SLC38A1	1.172059	4.372256	0.000028	0.005847
HAVCR1	1.171570	4.369730	0.000028	0.005851
MYC	1.170392	4.363651	0.000029	0.005947
RRBP1	1.168478	4.353778	0.000031	0.006144
CHD2	1.168051	4.351570	0.000031	0.006144
DDIT3	1.167091	4.346617	0.000032	0.006215
RPS19	1.162443	4.322634	0.000035	0.006786
SNORC	1.162144	4.321089	0.000035	0.006786
DLX4	1.161854	4.319592	0.000035	0.006786
HNRNPUL1	1.158624	4.302925	0.000038	0.007222
ACTN4	1.148684	4.251635	0.000047	0.008909
CEBPG	1.147241	4.244185	0.000049	0.009109
KLF10	1.146106	4.238330	0.000050	0.009252
LYRM1	1.143560	4.225190	0.000053	0.009691
ANG	1.138525	4.199211	0.000059	0.010713
COTL1	1.136907	4.190859	0.000061	0.010995
DMAC2	1.130670	4.158677	0.000070	0.012464
DOCK5	1.129486	4.152568	0.000072	0.012671
CAMKMT	1.127295	4.141261	0.000075	0.013163
SULT2B1	1.126545	4.137387	0.000077	0.013198
RNASE4	1.126358	4.136424	0.000077	0.013198
RNF44	1.124586	4.127281	0.000080	0.013589
APOLD1	1.123362	4.120962	0.000082	0.013829
CIC	1.119015	4.098535	0.000090	0.015037
CHD1	1.114945	4.077529	0.000098	0.016249
NR1D1	1.114510	4.075287	0.000099	0.016263
AC135178.2	1.113942	4.072354	0.000100	0.016323
PPP1R15B	1.108920	4.046439	0.000111	0.017556
S100A11	1.108721	4.045410	0.000111	0.017556
TPT1	1.108618	4.044881	0.000112	0.017556
CHMP2A	1.108602	4.044798	0.000112	0.017556
SPRY4	1.108344	4.043468	0.000112	0.017556
PREPL	1.108172	4.042581	0.000113	0.017556
GMEB2	1.107718	4.040238	0.000114	0.017586
TTC19	1.103574	4.018852	0.000124	0.019021
ABT1	1.100258	4.001740	0.000133	0.020216
SEPT2	1.099563	3.998156	0.000135	0.020353
AC022506.1	1.098621	3.993296	0.000137	0.020596
DRAM1	1.097864	3.989388	0.000140	0.020764
HERPUD2	1.095353	3.976429	0.000147	0.021701
PLD1	1.093463	3.966674	0.000153	0.022281
PER2	1.093233	3.965488	0.000154	0.022281
RNF145	1.092994	3.964254	0.000154	0.022281
YBX3	1.092067	3.959473	0.000157	0.022544
RPL24	1.090452	3.951139	0.000163	0.023133
KDM6B	1.087507	3.935940	0.000173	0.024388
RPL26	1.086860	3.932602	0.000175	0.024536
