CDC45	69.719257	7.791453	0.000000	0.000000
CUTA	69.711040	7.790444	0.000000	0.000000
CCDC61	69.604257	7.777326	0.000000	0.000000
DOHH	68.005851	7.580964	0.000000	0.000000
PAK1IP1	65.747198	7.303493	0.000000	0.000000
ABT1	65.565079	7.281120	0.000000	0.000000
MYLPF	65.166386	7.232142	0.000000	0.000000
SH3BP5L	63.852911	7.070784	0.000000	0.000000
ERGIC2	62.786960	6.939834	0.000000	0.000000
SLC25A19	62.770129	6.937766	0.000000	0.000000
YTHDF2	62.266099	6.875847	0.000000	0.000000
PDIA4	61.843020	6.823872	0.000000	0.000000
ATG4A	61.692277	6.805354	0.000000	0.000000
C6orf52	61.545525	6.787326	0.000000	0.000000
CDC7	60.641109	6.676220	0.000000	0.000000
ZNF140	60.552663	6.665355	0.000000	0.000000
NDUFB9	60.432109	6.650545	0.000000	0.000000
TYK2	60.389990	6.645371	0.000000	0.000000
TIMM17B	60.100238	6.609775	0.000000	0.000000
NUDT9	59.876386	6.582275	0.000000	0.000000
DCUN1D4	59.411119	6.525118	0.000000	0.000000
RFX1	59.266980	6.507411	0.000000	0.000000
VPS4B	58.636050	6.429902	0.000000	0.000000
PSMD10	58.552970	6.419696	0.000000	0.000000
POLG	57.786772	6.325570	0.000000	0.000001
HAUS5	56.987723	6.227409	0.000000	0.000001
TARS2	56.712584	6.193608	0.000000	0.000001
SDF2L1	56.495960	6.166997	0.000000	0.000002
EIF4G2	56.361099	6.150429	0.000000	0.000002
AGFG2	56.341376	6.148006	0.000000	0.000002
POU3F2	56.274020	6.139732	0.000000	0.000002
MAF1	56.259455	6.137942	0.000000	0.000002
STYXL1	55.810129	6.082743	0.000000	0.000002
DOP1A	55.516010	6.046612	0.000000	0.000003
THRAP3	55.494693	6.043993	0.000000	0.000003
UQCRQ	55.454782	6.039090	0.000000	0.000003
TIPRL	55.196931	6.007413	0.000000	0.000003
SLC25A28	55.103723	5.995963	0.000000	0.000003
ZNF571	55.031545	5.987096	0.000000	0.000003
PRPF3	54.989752	5.981962	0.000000	0.000003
RAB4B	54.810000	5.959880	0.000000	0.000004
RAB4B-EGLN2	54.714050	5.948092	0.000000	0.000004
MDH2	54.592149	5.933117	0.000000	0.000004
LYRM7	54.550059	5.927946	0.000000	0.000004
TMEM258	54.352139	5.903632	0.000000	0.000005
SRP9	54.281376	5.894939	0.000000	0.000005
SCLT1	53.818881	5.838123	0.000000	0.000007
SLC25A37	52.956386	5.732167	0.000000	0.000012
HEXIM1	52.429653	5.667459	0.000000	0.000017
C2CD3	52.151743	5.633318	0.000000	0.000020
MRPL54	51.940574	5.607376	0.000000	0.000023
N6AMT1	51.913832	5.604091	0.000000	0.000023
ZNF8	51.841752	5.595236	0.000000	0.000024
MRPL42	51.824663	5.593137	0.000000	0.000024
INTS7	51.675000	5.574751	0.000000	0.000026
ZNF530	51.602366	5.565828	0.000000	0.000027
GPR17	51.494911	5.552627	0.000000	0.000028
BORCS8-MEF2B	51.485297	5.551446	0.000000	0.000028
PEX6	51.434317	5.545183	0.000000	0.000028
STAT3	50.901188	5.479690	0.000000	0.000040
AC020915.1	50.522040	5.433112	0.000000	0.000051
RSPH9	50.443911	5.423514	0.000000	0.000052
ZMYND8	50.438851	5.422892	0.000000	0.000052
ENOX2	50.226416	5.396795	0.000000	0.000059
DTL	50.138792	5.386031	0.000000	0.000061
PSMD8	49.846059	5.350069	0.000000	0.000073
AL049697.1	49.814257	5.346162	0.000000	0.000074
AL451062.3	49.599188	5.319741	0.000000	0.000084
RFXANK	49.357426	5.290041	0.000000	0.000097
FKTN	49.320921	5.285557	0.000000	0.000097
ATP6AP1	49.252733	5.277180	0.000000	0.000100
PRAME	49.147030	5.264195	0.000000	0.000106
ZNF280A	48.683624	5.207266	0.000001	0.000141
KDM4A	48.596257	5.196533	0.000001	0.000146
ZNF330	48.585861	5.195256	0.000001	0.000146
KIAA2012	48.444327	5.177869	0.000001	0.000158
FBXO16	48.319218	5.162500	0.000001	0.000168
FBXW11	48.114822	5.137390	0.000001	0.000189
STRADA	48.100901	5.135680	0.000001	0.000189
RBM4	48.047228	5.129086	0.000001	0.000193
OSCP1	48.013743	5.124972	0.000001	0.000194
TBP	47.873644	5.107762	0.000001	0.000210
SOAT1	47.672743	5.083081	0.000001	0.000235
BTF3	47.592178	5.073184	0.000001	0.000244
ITPR1	47.560782	5.069327	0.000001	0.000246
ELOF1	47.127901	5.016149	0.000001	0.000318
LRRC61	47.020020	5.002896	0.000001	0.000336
CFAP206	46.898139	4.987923	0.000002	0.000358
AP001781.2	46.785733	4.974114	0.000002	0.000379
FEN1	46.602129	4.951558	0.000002	0.000419
CD58	46.454911	4.933473	0.000002	0.000453
RLIM	46.411871	4.928186	0.000002	0.000455
ZMPSTE24	46.401554	4.926918	0.000002	0.000455
PGBD4	46.389525	4.925440	0.000002	0.000455
FKBP8	46.377168	4.923922	0.000002	0.000455
CBX3	46.331653	4.918331	0.000002	0.000463
GALE	46.277653	4.911697	0.000002	0.000473
ATP6V0E1	46.215248	4.904031	0.000002	0.000486
MFN1	46.177178	4.899354	0.000002	0.000492
TMEM222	46.058376	4.884760	0.000003	0.000524
RAB5B	46.011812	4.879039	0.000003	0.000533
PPIL2	45.992426	4.876658	0.000003	0.000534
CCDC82	45.956168	4.872203	0.000003	0.000540
PNPLA8	45.932327	4.869275	0.000003	0.000543
DUSP10	45.877010	4.862479	0.000003	0.000556
AC008750.8	45.811802	4.854468	0.000003	0.000573
CCDC86	45.784693	4.851138	0.000003	0.000576
PHKB	45.720634	4.843268	0.000003	0.000593
PSMD4	45.637426	4.833047	0.000003	0.000618
ZNF599	45.586614	4.826804	0.000003	0.000631
THAP5	45.415426	4.805774	0.000004	0.000692
ZNF646	45.252485	4.785757	0.000004	0.000755
ANKHD1	45.137455	4.771626	0.000005	0.000800
OSR2	45.051842	4.761109	0.000005	0.000833
NAPA	45.037931	4.759400	0.000005	0.000833
NUP153	44.768347	4.726282	0.000006	0.000961
SEM1	44.751436	4.724204	0.000006	0.000961
NUB1	44.748990	4.723904	0.000006	0.000961
AC010255.3	44.586990	4.704003	0.000006	0.001047
PDSS2	44.429822	4.684695	0.000007	0.001137
C16orf70	44.148683	4.650157	0.000008	0.001324
VIRMA	44.082891	4.642075	0.000008	0.001358
POC1A	44.075465	4.641163	0.000008	0.001358
GOT1L1	43.812099	4.608809	0.000010	0.001565
APC	43.662574	4.590440	0.000011	0.001689
VWA3B	43.584535	4.580853	0.000011	0.001751
PHACTR4	43.548634	4.576442	0.000011	0.001772
JRKL	43.535347	4.574810	0.000011	0.001772
ZNF44	43.518059	4.572686	0.000011	0.001776
STMN4	43.374198	4.555013	0.000012	0.001910
EXOC4	43.270198	4.542237	0.000013	0.002009
FADS2	43.252099	4.540014	0.000013	0.002014
ZSCAN21	43.197515	4.533308	0.000014	0.002053
YIPF5	43.190376	4.532431	0.000014	0.002053
XRRA1	43.144713	4.526822	0.000014	0.002090
CRKL	43.055911	4.515912	0.000015	0.002180
NR1H2	43.037772	4.513684	0.000015	0.002186
HIST1H3B	43.017347	4.511175	0.000015	0.002187
KLHDC3	43.010931	4.510387	0.000015	0.002187
ZNF627	42.950079	4.502911	0.000016	0.002245
GVQW3	42.851881	4.490848	0.000017	0.002346
EMC7	42.845139	4.490019	0.000017	0.002346
SNAPC3	42.691099	4.471096	0.000018	0.002518
HBP1	42.642426	4.465117	0.000019	0.002568
TMED7-TICAM2	42.621069	4.462493	0.000019	0.002581
EIF3D	42.351515	4.429379	0.000022	0.002970
FBXL5	42.165406	4.406516	0.000024	0.003263
FAM200B	42.062267	4.393845	0.000026	0.003427
TOP3B	42.035525	4.390560	0.000026	0.003446
OAZ2	42.027218	4.389539	0.000026	0.003446
C22orf15	42.004990	4.386809	0.000026	0.003465
HEY1	41.883218	4.371849	0.000028	0.003675
ZNF474	41.727079	4.352668	0.000031	0.003970
DCAF7	41.569495	4.333309	0.000033	0.004291
AFF1	41.511564	4.326192	0.000034	0.004376
KPNB1	41.505980	4.325506	0.000035	0.004376
DNAJB9	41.496564	4.324350	0.000035	0.004376
GATM	41.443505	4.317831	0.000036	0.004469
RPL18	41.420634	4.315022	0.000036	0.004469
SPATA5L1	41.404396	4.313027	0.000036	0.004469
TSNAX-DISC1	41.398050	4.312247	0.000037	0.004469
TSNAX	41.398050	4.312247	0.000037	0.004469
SURF1	41.170356	4.284276	0.000041	0.005009
GPA33	41.153743	4.282235	0.000042	0.005023
TRIM2	41.122485	4.278395	0.000042	0.005069
SPCS2	41.108327	4.276655	0.000043	0.005069
NME5	41.090921	4.274517	0.000043	0.005069
ATP5F1B	41.090733	4.274494	0.000043	0.005069
PRDM10	41.068673	4.271784	0.000043	0.005098
BZW2	41.031446	4.267211	0.000044	0.005168
ELL2	40.571911	4.210758	0.000056	0.006527
RCAN3	40.462683	4.197339	0.000060	0.006866
BSN	40.437129	4.194200	0.000060	0.006903
ZNF564	40.429772	4.193296	0.000061	0.006903
MOSPD3	40.406911	4.190488	0.000061	0.006945
NR2F1	40.387911	4.188154	0.000062	0.006974
GABARAP	40.317703	4.179529	0.000064	0.007190
SAFB	40.251584	4.171406	0.000066	0.007396
STK4	40.201881	4.165300	0.000068	0.007545
POMGNT2	40.131218	4.156620	0.000071	0.007779
ATAD3B	40.048020	4.146399	0.000074	0.008071
RFX5	39.971545	4.137004	0.000077	0.008346
ATG5	39.937238	4.132789	0.000078	0.008440
ANKRD26	39.866347	4.124081	0.000081	0.008633
CIR1	39.862257	4.123578	0.000081	0.008633
RABL2B	39.849465	4.122007	0.000082	0.008643
SCRN3	39.797644	4.115641	0.000084	0.008826
SLC39A8	39.764812	4.111607	0.000085	0.008926
KLF9	39.722109	4.106361	0.000087	0.009073
CENPL	39.662317	4.099016	0.000090	0.009302
AGBL2	39.601842	4.091587	0.000092	0.009527
CWF19L2	39.594188	4.090646	0.000093	0.009527
NUDT22	39.533188	4.083153	0.000096	0.009773
LAP3	39.496624	4.078661	0.000097	0.009903
GATC	39.355079	4.061272	0.000105	0.010575
RPS3A	39.320663	4.057044	0.000106	0.010665
AC008758.1	39.317822	4.056695	0.000107	0.010665
NFE2L1	39.283970	4.052537	0.000108	0.010792
CDK2	39.171901	4.038769	0.000115	0.011353
TRIAP1	39.104327	4.030468	0.000118	0.011651
TBL1X	39.099683	4.029897	0.000119	0.011651
ASL	39.026901	4.020956	0.000123	0.012019
MAP2K3	38.958970	4.012611	0.000127	0.012368
PSMB7	38.923782	4.008288	0.000129	0.012523
RAB8A	38.819436	3.995470	0.000136	0.013099
RPS16	38.805505	3.993758	0.000137	0.013099
HOXC5	38.802941	3.993443	0.000137	0.013099
PIK3R3	38.786040	3.991367	0.000139	0.013145
TPR	38.751495	3.987123	0.000141	0.013306
MAP9	38.595614	3.967974	0.000152	0.014224
RGPD2	38.562574	3.963915	0.000155	0.014296
SUPT5H	38.556515	3.963170	0.000155	0.014296
AGBL4	38.543990	3.961632	0.000156	0.014318
DDX53	38.267713	3.927692	0.000178	0.016294
HSD17B12	38.209624	3.920555	0.000183	0.016680
EAF1	38.180525	3.916981	0.000186	0.016786
SIX3	38.177604	3.916622	0.000186	0.016786
ARHGAP18	38.016752	3.896862	0.000201	0.018051
VWA5B1	37.965475	3.890562	0.000206	0.018340
ZNF41	37.964832	3.890483	0.000206	0.018340
C11orf65	37.955040	3.889280	0.000207	0.018344
SREBF2	37.899505	3.882458	0.000213	0.018753
VPS39	37.874356	3.879368	0.000215	0.018896
AC009163.4	37.839693	3.875110	0.000219	0.019126
COG8	37.774376	3.867086	0.000226	0.019644
ZNF668	37.759564	3.865266	0.000227	0.019696
TEX33	37.742545	3.863176	0.000229	0.019770
GFPT2	37.711950	3.859417	0.000233	0.019973
MARCH10	37.671099	3.854399	0.000237	0.020276
ERBB2	37.645871	3.851300	0.000240	0.020431
CCDC116	37.572792	3.842322	0.000248	0.021059
CIAO1	37.521129	3.835975	0.000254	0.021487
ENO4	37.503851	3.833853	0.000257	0.021572
NOL6	37.480515	3.830986	0.000259	0.021718
NUP214	37.437208	3.825666	0.000265	0.022072
POC5	37.414139	3.822832	0.000268	0.022220
MTHFSD	37.362683	3.816510	0.000274	0.022651
FBXO22	37.355475	3.815625	0.000275	0.022651
CFAP300	37.282158	3.806618	0.000285	0.023298
AC069444.2	37.276881	3.805970	0.000285	0.023298
C12orf60	37.269000	3.805002	0.000286	0.023298
TTC33	37.246564	3.802245	0.000289	0.023448
HLA-E	37.237406	3.801120	0.000291	0.023453
PTCD2	37.182505	3.794376	0.000298	0.023965
ZNF74	37.170772	3.792935	0.000300	0.023999
APPL2	37.127960	3.787675	0.000306	0.024384
TIMM23B	37.092406	3.783307	0.000311	0.024692
ESS2	37.052832	3.778446	0.000317	0.025050
ZNF397	37.018644	3.774246	0.000322	0.025350
NDUFV1	36.905822	3.760386	0.000339	0.026604
PNMA6F	36.890990	3.758564	0.000341	0.026682
SH3BGR	36.849574	3.753476	0.000348	0.027069
TRIP4	36.842792	3.752643	0.000349	0.027069
RBM15	36.767297	3.743368	0.000361	0.027918
TMEM69	36.735436	3.739454	0.000367	0.028221
TCTE1	36.713931	3.736812	0.000370	0.028391
SKP2	36.640762	3.727824	0.000383	0.029247
METTL16	36.458416	3.705423	0.000416	0.031665
ZNF131	36.448277	3.704177	0.000418	0.031691
AK8	36.389129	3.696911	0.000430	0.032431
TTLL10	36.338208	3.690656	0.000440	0.033064
RGS14	36.322238	3.688694	0.000443	0.033169
WBP11	36.301931	3.686199	0.000447	0.033169
TBC1D12	36.301713	3.686172	0.000447	0.033169
CDKL5	36.298119	3.685731	0.000448	0.033169
PBLD	36.270505	3.682338	0.000453	0.033462
PTDSS2	36.232733	3.677698	0.000461	0.033853
FABP3	36.228525	3.677181	0.000462	0.033853
C19orf38	36.131861	3.665306	0.000483	0.035232
CBLL1	36.100356	3.661436	0.000490	0.035488
CEP120	36.099525	3.661334	0.000490	0.035488
DDX21	36.066881	3.657324	0.000497	0.035882
ASF1B	36.013663	3.650786	0.000509	0.036617
EED	35.973535	3.645856	0.000518	0.037147
DDX50	35.828257	3.628009	0.000553	0.039496
CWC25	35.779040	3.621963	0.000565	0.040152
C8orf48	35.775267	3.621499	0.000566	0.040152
MAATS1	35.739436	3.617098	0.000575	0.040508
LRRC63	35.596287	3.599512	0.000613	0.043010
DNAH2	35.582950	3.597874	0.000617	0.043112
CD55	35.523208	3.590534	0.000633	0.044110
DNAJC19	35.506040	3.588425	0.000638	0.044290
HSPA14	35.372376	3.572005	0.000677	0.046809
TCF19	35.364248	3.571006	0.000679	0.046814
SNRPD2	35.337238	3.567688	0.000687	0.047208
HSPA14	35.326406	3.566358	0.000690	0.047270
EIF5A	35.307386	3.564021	0.000696	0.047502
PPIL1	35.272822	3.559775	0.000707	0.048061
MIIP	35.250465	3.557029	0.000714	0.048222
DEPDC7	35.239327	3.555660	0.000717	0.048222
GTPBP1	35.235762	3.555222	0.000718	0.048222
C6orf48	35.232881	3.554868	0.000719	0.048222
C3	35.226465	3.554080	0.000721	0.048222
AC114490.2	35.197980	3.550581	0.000730	0.048662
N4BP2L2	35.183356	3.548784	0.000735	0.048810
